open,high,low,close,date
5.1,5.14,5.04,5.04,2018-11-02
4.97,5.07,4.97,5.06,2018-11-01
5.08,5.09,4.96,4.96,2018-10-31
4.968,5.08,4.94,5.005,2018-10-30
4.99,4.996,4.88,4.94,2018-10-29
5.035,5.035,4.868,4.88,2018-10-26
4.95,5.05,4.916,5.005,2018-10-25
5.105,5.11,4.986,4.998,2018-10-24
5.12,5.16,5.055,5.055,2018-10-23
5.16,5.2,5.13,5.15,2018-10-22
5.235,5.25,5.135,5.14,2018-10-19
5.15,5.28,5.15,5.26,2018-10-18
5.13,5.19,5.105,5.13,2018-10-17
4.92,5.145,4.9,5.085,2018-10-16
4.85,4.902,4.848,4.87,2018-10-15
4.89,5.025,4.89,4.9,2018-10-12
4.85,4.95,4.804,4.878,2018-10-11
4.922,4.97,4.882,4.882,2018-10-10
4.964,5.005,4.936,4.936,2018-10-09
5.09,5.09,4.952,4.98,2018-10-08
5.075,5.105,5.06,5.09,2018-10-05
5.12,5.17,5.08,5.085,2018-10-04
5.075,5.15,5.075,5.13,2018-10-03
5.125,5.185,5.07,5.07,2018-10-02
5.17,5.2,5.15,5.16,2018-10-01
5.15,5.185,5.125,5.16,2018-09-28
5.135,5.195,5.125,5.19,2018-09-27
5.165,5.165,5.13,5.14,2018-09-26
5.13,5.175,5.125,5.165,2018-09-25
5.11,5.16,5.11,5.15,2018-09-24
5.08,5.15,5.07,5.135,2018-09-21
5.065,5.1,5.04,5.04,2018-09-20
5.09,5.14,5.075,5.085,2018-09-19
5.115,5.165,5.09,5.105,2018-09-18
5.1,5.115,5.06,5.095,2018-09-17
5.14,5.195,5.095,5.105,2018-09-14
4.97,5.155,4.952,5.145,2018-09-13
4.916,4.964,4.91,4.952,2018-09-12
4.85,4.914,4.85,4.886,2018-09-11
4.868,4.9,4.84,4.88,2018-09-10
4.852,4.886,4.83,4.868,2018-09-07
4.856,4.95,4.8,4.864,2018-09-06
4.876,4.916,4.842,4.854,2018-09-05
4.95,4.95,4.872,4.884,2018-09-04
4.95,4.96,4.876,4.916,2018-08-31
4.912,4.94,4.876,4.93,2018-08-30
4.94,4.98,4.91,4.93,2018-08-29
4.938,4.976,4.934,4.944,2018-08-28
4.932,4.988,4.932,4.96,2018-08-27
4.954,4.986,4.938,4.958,2018-08-24
4.998,5.02,4.96,4.968,2018-08-23
4.954,5.03,4.954,4.992,2018-08-22
4.95,4.99,4.95,4.962,2018-08-21
4.912,4.988,4.912,4.958,2018-08-20
4.908,4.948,4.908,4.924,2018-08-17
4.86,4.956,4.86,4.926,2018-08-16
4.932,4.932,4.86,4.874,2018-08-15
4.908,4.95,4.894,4.926,2018-08-14
4.96,4.96,4.886,4.916,2018-08-13
4.958,4.99,4.944,4.958,2018-08-10
4.926,4.954,4.91,4.944,2018-08-09
4.92,4.95,4.906,4.932,2018-08-08
4.94,4.944,4.894,4.912,2018-08-07
4.906,4.938,4.9,4.9,2018-08-06
4.996,4.996,4.89,4.91,2018-08-03
4.95,4.996,4.91,4.97,2018-08-02
4.99,4.998,4.946,4.96,2018-08-01
4.982,4.994,4.938,4.982,2018-07-31
4.96,4.978,4.928,4.972,2018-07-30
4.888,4.94,4.888,4.922,2018-07-27
4.89,4.916,4.822,4.912,2018-07-26
4.96,4.976,4.85,4.87,2018-07-25
4.98,5.005,4.928,4.944,2018-07-24
4.86,5.09,4.86,4.952,2018-07-23
4.754,4.76,4.678,4.76,2018-07-20
4.8,4.8,4.76,4.778,2018-07-19
4.802,4.816,4.758,4.798,2018-07-18
4.828,4.846,4.782,4.82,2018-07-17
4.912,4.914,4.834,4.85,2018-07-16
4.93,4.948,4.818,4.902,2018-07-13
4.946,4.972,4.916,4.93,2018-07-12
4.966,4.978,4.908,4.944,2018-07-11
4.91,4.958,4.9,4.958,2018-07-10
4.86,4.91,4.86,4.91,2018-07-09
4.754,4.87,4.746,4.868,2018-07-06
4.69,4.758,4.69,4.758,2018-07-05
4.67,4.712,4.654,4.712,2018-07-04
